Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
W,Lukasz Brzeski,0,58 of 102,56%,135 of 200,0 of 0,---,0,1,0:43,27 of 70,16 of 17,15 of 15,55 of 96,3 of 6,0 of 0
W,Norma Dumont,0,11 of 29,37%,49 of 76,6 of 8,75%,0,0,10:04,6 of 21,5 of 7,0 of 1,4 of 20,5 of 6,2 of 3
L,Germaine de Randamie,0,16 of 33,48%,91 of 126,0 of 0,---,0,0,2:21,7 of 21,7 of 8,2 of 4,8 of 24,8 of 9,0 of 0
L,Pedro Falcao,0,42 of 106,39%,58 of 128,1 of 13,7%,0,0,7:10,27 of 83,6 of 12,9 of 11,36 of 96,6 of 10,0 of 0
W,Victor Hugo,1,68 of 124,54%,84 of 148,0 of 0,---,0,0,0:49,31 of 77,21 of 30,16 of 17,57 of 112,11 of 12,0 of 0
L,Dan Argueta,0,14 of 39,35%,39 of 69,9 of 19,47%,0,0,6:01,13 of 37,1 of 1,0 of 1,10 of 31,0 of 3,4 of 5
W,Jean Matsumoto,0,19 of 35,54%,29 of 47,2 of 4,50%,1,0,1:34,10 of 24,1 of 3,8 of 8,13 of 26,5 of 8,1 of 1
L,Dylan Budka,0,1 of 5,20%,6 of 11,3 of 6,50%,0,0,5:53,0 of 4,1 of 1,0 of 0,1 of 5,0 of 0,0 of 0
W,Cesar Almeida,0,29 of 38,76%,87 of 101,0 of 0,---,0,0,0:12,21 of 29,7 of 8,1 of 1,7 of 11,19 of 21,3 of 6
L,Melissa Mullins,0,11 of 24,45%,13 of 28,1 of 4,25%,0,0,5:20,9 of 21,2 of 3,0 of 0,9 of 21,2 of 3,0 of 0
W,Nora Cornolle,1,36 of 51,70%,60 of 83,0 of 0,---,0,1,0:30,17 of 28,13 of 17,6 of 6,19 of 29,15 of 20,2 of 2
L,Erin Blanchfield,0,130 of 386,33%,135 of 394,0 of 3,0%,1,0,0:48,80 of 318,25 of 40,25 of 28,124 of 371,6 of 15,0 of 0
