Result,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl,Head (SS),Body (SS),Leg (SS),Distance (SS),Clinch (SS),Ground (SS)
L,Javier Reyes,0,7 of 35,20%,7 of 35,0 of 0,---,0,0,0:00,3 of 29,2 of 4,2 of 2,7 of 35,0 of 0,0 of 0
W,Daniil Donchenko,2,71 of 107,66%,73 of 109,0 of 0,---,0,0,0:27,16 of 44,26 of 32,29 of 31,61 of 93,10 of 13,0 of 1
L,Theodor Berggren,0,23 of 64,35%,29 of 71,0 of 0,---,0,0,0:17,15 of 50,7 of 13,1 of 1,20 of 60,3 of 4,0 of 0
L,Bekzat Almakhan,1,69 of 159,43%,70 of 160,0 of 0,---,0,0,0:02,59 of 148,9 of 10,1 of 1,65 of 155,4 of 4,0 of 0
W,Jean Matsumoto,0,79 of 229,34%,89 of 241,2 of 10,20%,0,0,1:38,44 of 176,11 of 21,24 of 32,70 of 211,6 of 14,3 of 4
W,Tahir Abdullayev,0,37 of 87,42%,60 of 111,2 of 6,33%,0,0,3:12,26 of 74,8 of 10,3 of 3,14 of 55,4 of 6,19 of 26
L,Jefferson Nascimento,0,35 of 72,48%,54 of 100,0 of 1,0%,0,0,0:33,11 of 38,19 of 26,5 of 8,33 of 70,2 of 2,0 of 0
W,Manel Kape,1,19 of 56,33%,47 of 88,0 of 0,---,0,0,0:10,11 of 47,2 of 3,6 of 6,13 of 46,0 of 1,6 of 9
L,Kyoji Horiguchi,0,27 of 53,50%,53 of 89,2 of 5,40%,0,0,4:00,21 of 43,4 of 5,2 of 5,20 of 42,0 of 1,7 of 10
L,Ion Cutelaba,0,19 of 48,39%,58 of 88,5 of 7,71%,1,2,3:01,10 of 36,3 of 4,6 of 8,14 of 41,2 of 4,3 of 3
W,Navajo Stirling,0,52 of 70,74%,59 of 77,0 of 1,0%,0,2,1:53,38 of 54,11 of 12,3 of 4,31 of 44,1 of 2,20 of 24
L,Hyder Amil,0,23 of 48,47%,23 of 48,0 of 1,0%,0,0,0:00,11 of 30,7 of 8,5 of 10,19 of 42,4 of 6,0 of 0
W,Christian Rodriguez,1,20 of 38,52%,23 of 43,1 of 3,33%,1,0,0:23,17 of 35,3 of 3,0 of 0,18 of 34,0 of 0,2 of 4
L,Melsik Baghdasaryan,0,3 of 13,23%,3 of 13,0 of 0,---,0,0,0:00,0 of 9,3 of 3,0 of 1,3 of 13,0 of 0,0 of 0
W,Murtazali Magomedov,0,5 of 7,71%,7 of 9,1 of 2,50%,1,0,0:27,3 of 5,0 of 0,2 of 2,5 of 5,0 of 0,0 of 2
W,Vinicius Oliveira,1,105 of 152,69%,105 of 152,0 of 1,0%,0,0,0:17,47 of 90,28 of 31,30 of 31,89 of 134,10 of 12,6 of 6
L,Andre Fili,0,40 of 113,35%,40 of 113,0 of 1,0%,0,0,0:00,31 of 104,9 of 9,0 of 0,38 of 110,2 of 3,0 of 0
L,Andre Lima,0,51 of 114,44%,58 of 121,0 of 2,0%,0,0,1:41,16 of 52,13 of 31,22 of 31,49 of 112,2 of 2,0 of 0
W,Kevin Borjas,0,51 of 136,37%,52 of 137,0 of 1,0%,0,0,0:08,32 of 106,16 of 24,3 of 6,48 of 133,3 of 3,0 of 0
W,Bia Mesquita,0,3 of 10,30%,28 of 37,0 of 0,---,1,0,0:12,2 of 7,1 of 2,0 of 1,3 of 10,0 of 0,0 of 0
L,Melissa Mullins,0,10 of 25,40%,13 of 28,1 of 1,100%,0,0,1:27,8 of 23,2 of 2,0 of 0,8 of 22,2 of 2,0 of 1
L,Allan Nascimento,1,58 of 142,40%,98 of 195,0 of 4,0%,0,0,4:21,28 of 96,21 of 31,9 of 15,41 of 123,10 of 11,7 of 8
W,Mitch Raposo,0,38 of 89,42%,54 of 108,0 of 1,0%,0,0,0:47,29 of 80,9 of 9,0 of 0,37 of 88,1 of 1,0 of 0
W,Gaston Bolanos,0,87 of 193,45%,94 of 202,1 of 2,50%,0,0,0:22,35 of 120,34 of 49,18 of 24,86 of 190,1 of 3,0 of 0
L,Michael Aswell Jr.,0,105 of 252,41%,115 of 267,0 of 3,0%,0,0,1:06,86 of 226,18 of 24,1 of 2,95 of 237,9 of 11,1 of 4
L,Leon Shahbazyan,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00,0 of 0,0 of 1,0 of 0,0 of 1,0 of 0,0 of 0
W,Levan Chokheli,1,6 of 11,54%,6 of 11,0 of 0,---,0,0,0:01,3 of 8,1 of 1,2 of 2,6 of 8,0 of 0,0 of 3
L,Karol Rosa,0,7 of 26,26%,126 of 147,0 of 0,---,0,0,0:00,4 of 20,1 of 3,2 of 3,6 of 24,0 of 1,1 of 1
W,Luana Santos,0,9 of 11,81%,110 of 120,2 of 10,20%,0,0,12:21,6 of 8,3 of 3,0 of 0,6 of 8,1 of 1,2 of 2
W,Shane Collins,0,76 of 138,55%,111 of 175,0 of 6,0%,3,0,2:34,46 of 102,23 of 27,7 of 9,66 of 125,10 of 13,0 of 0
L,Otari Tanzilovi,0,58 of 89,65%,74 of 105,5 of 9,55%,0,0,4:14,38 of 66,15 of 17,5 of 6,41 of 70,17 of 19,0 of 0
L,Ilia Topuria,1,97 of 162,59%,111 of 177,1 of 3,33%,0,0,2:32,55 of 112,37 of 45,5 of 5,68 of 125,22 of 29,7 of 8
W,Justin Gaethje,0,91 of 192,47%,119 of 228,0 of 5,0%,0,0,1:32,79 of 175,8 of 12,4 of 5,73 of 167,15 of 21,3 of 4
L,Alex Pereira,0,12 of 33,36%,12 of 33,0 of 0,---,0,0,0:00,3 of 20,1 of 3,8 of 10,12 of 33,0 of 0,0 of 0
W,Ciryl Gane,1,54 of 86,62%,54 of 86,0 of 2,0%,0,0,0:12,39 of 71,4 of 4,11 of 11,36 of 66,3 of 3,15 of 17
W,Sean O'Malley,1,41 of 81,50%,41 of 81,0 of 0,---,0,0,0:02,32 of 66,7 of 13,2 of 2,41 of 81,0 of 0,0 of 0
L,Aiemann Zahabi,0,32 of 56,57%,32 of 56,0 of 0,---,0,0,0:00,6 of 25,0 of 0,26 of 31,32 of 56,0 of 0,0 of 0
W,Josh Hokit,1,86 of 117,73%,105 of 138,2 of 3,66%,1,0,4:04,74 of 103,7 of 9,5 of 5,39 of 60,11 of 13,36 of 44
L,Derrick Lewis,0,7 of 40,17%,8 of 41,0 of 1,0%,0,0,0:00,5 of 37,2 of 2,0 of 1,4 of 34,3 of 6,0 of 0
W,Mauricio Ruffy,2,19 of 40,47%,20 of 41,0 of 0,---,0,0,0:13,16 of 36,1 of 2,2 of 2,17 of 37,0 of 0,2 of 3
L,Michael Chandler,0,3 of 12,25%,3 of 12,0 of 3,0%,0,0,0:00,2 of 7,0 of 3,1 of 2,3 of 12,0 of 0,0 of 0
W,Bo Nickal,1,16 of 24,66%,44 of 53,1 of 1,100%,0,0,3:14,15 of 23,0 of 0,1 of 1,7 of 13,0 of 0,9 of 11
L,Kyle Daukaus,0,2 of 7,28%,26 of 31,0 of 0,---,0,0,0:00,1 of 6,0 of 0,1 of 1,2 of 7,0 of 0,0 of 0
W,Diego Lopes,1,24 of 66,36%,24 of 66,0 of 1,0%,0,0,0:05,21 of 57,2 of 8,1 of 1,17 of 58,0 of 0,7 of 8
L,Steve Garcia,0,47 of 104,45%,47 of 104,0 of 0,---,0,0,0:00,33 of 89,3 of 4,11 of 11,47 of 104,0 of 0,0 of 0
L,Belal Muhammad,0,86 of 275,31%,86 of 275,0 of 2,0%,0,0,0:08,52 of 228,22 of 33,12 of 14,86 of 273,0 of 2,0 of 0
W,Gabriel Bonfim,0,128 of 260,49%,128 of 261,0 of 1,0%,0,0,0:00,83 of 212,11 of 11,34 of 37,126 of 258,2 of 2,0 of 0
W,Brendan Allen,0,89 of 194,45%,91 of 196,1 of 4,25%,0,0,0:28,61 of 160,10 of 16,18 of 18,79 of 174,10 of 20,0 of 0
L,Edmen Shahbazyan,0,90 of 180,50%,90 of 180,0 of 1,0%,0,0,0:08,83 of 171,4 of 4,3 of 5,85 of 173,5 of 7,0 of 0
L,Fares Ziam,0,16 of 32,50%,48 of 70,3 of 5,60%,1,1,5:07,11 of 26,3 of 4,2 of 2,12 of 26,3 of 4,1 of 2
W,Tom Nolan,0,31 of 66,46%,65 of 116,2 of 6,33%,0,1,6:47,13 of 38,11 of 16,7 of 12,13 of 32,7 of 13,11 of 21
W,Bryce Mitchell,0,22 of 41,53%,54 of 77,2 of 5,40%,2,1,11:40,9 of 24,10 of 12,3 of 5,12 of 31,6 of 6,4 of 4
L,Santiago Luna,0,9 of 25,36%,112 of 130,0 of 1,0%,1,1,1:14,4 of 13,4 of 11,1 of 1,9 of 25,0 of 0,0 of 0
W,Iwo Baraniewski,1,6 of 22,27%,6 of 22,0 of 1,0%,0,0,0:17,2 of 18,1 of 1,3 of 3,4 of 6,0 of 2,2 of 14
L,Junior Tafa,0,0 of 8,0%,0 of 8,0 of 0,---,0,0,0:00,0 of 6,0 of 2,0 of 0,0 of 8,0 of 0,0 of 0
L,Matt Schnell,0,8 of 21,38%,8 of 21,0 of 0,---,0,0,0:00,5 of 17,1 of 2,2 of 2,8 of 21,0 of 0,0 of 0
W,Alessandro Costa,1,19 of 23,82%,19 of 23,0 of 0,---,0,0,0:05,16 of 18,2 of 2,1 of 3,7 of 11,0 of 0,12 of 12
W,Marcus McGhee,0,79 of 202,39%,79 of 202,0 of 2,0%,0,0,0:00,60 of 171,13 of 22,6 of 9,79 of 202,0 of 0,0 of 0
L,John Yannis,0,55 of 115,47%,55 of 115,0 of 0,---,0,0,0:00,27 of 77,20 of 30,8 of 8,54 of 114,1 of 1,0 of 0
L,Bruno Silva,0,17 of 29,58%,17 of 29,0 of 3,0%,0,0,0:00,11 of 22,3 of 4,3 of 3,17 of 29,0 of 0,0 of 0
W,Edgar Chairez,2,24 of 44,54%,24 of 44,0 of 0,---,1,0,0:24,20 of 37,2 of 5,2 of 2,21 of 38,0 of 0,3 of 6
L,Priscila Cachoeira,0,7 of 13,53%,9 of 16,1 of 1,100%,0,0,0:23,6 of 11,0 of 1,1 of 1,6 of 12,0 of 0,1 of 1
W,Chelsea Chandler,1,11 of 25,44%,24 of 41,0 of 0,---,1,0,1:52,9 of 22,2 of 3,0 of 0,9 of 22,2 of 2,0 of 1
L,Jordan Leavitt,0,7 of 9,77%,27 of 29,0 of 5,0%,1,1,2:21,3 of 3,4 of 6,0 of 0,3 of 4,4 of 5,0 of 0
W,Joanderson Brito,0,5 of 13,38%,15 of 24,0 of 0,---,1,0,1:17,3 of 10,2 of 2,0 of 1,3 of 11,2 of 2,0 of 0
W,Jeisla Chaves,0,64 of 99,64%,92 of 136,3 of 6,50%,1,0,4:29,35 of 66,20 of 24,9 of 9,36 of 68,15 of 18,13 of 13
L,Yuneisy Duben,0,62 of 112,55%,110 of 165,2 of 4,50%,0,1,3:18,41 of 83,14 of 16,7 of 13,44 of 90,8 of 9,10 of 13
W,Ketlen Souza,1,13 of 17,76%,13 of 17,0 of 0,---,0,0,0:03,11 of 15,0 of 0,2 of 2,12 of 16,0 of 0,1 of 1
L,Ariane Carnelossi,0,8 of 21,38%,8 of 21,0 of 0,---,0,0,0:00,4 of 12,3 of 8,1 of 1,8 of 21,0 of 0,0 of 0
W,Song Yadong,0,24 of 52,46%,30 of 58,1 of 1,100%,1,0,0:03,6 of 29,4 of 7,14 of 16,23 of 50,1 of 2,0 of 0
L,Deiveson Figueiredo,0,9 of 17,52%,17 of 26,1 of 4,25%,0,0,0:35,2 of 8,5 of 7,2 of 2,9 of 17,0 of 0,0 of 0
L,Zhang Mingyang,0,16 of 37,43%,28 of 51,0 of 0,---,0,0,0:43,2 of 21,13 of 15,1 of 1,7 of 27,9 of 10,0 of 0
W,Alonzo Menifield,2,28 of 52,53%,42 of 68,0 of 0,---,0,0,1:47,26 of 50,0 of 0,2 of 2,23 of 44,2 of 5,3 of 3
W,Sergei Pavlovich,1,7 of 9,77%,10 of 13,0 of 0,---,0,0,0:05,7 of 9,0 of 0,0 of 0,6 of 7,0 of 0,1 of 2
L,Tallison Teixeira,0,0 of 4,0%,0 of 4,0 of 0,---,0,0,0:00,0 of 2,0 of 0,0 of 2,0 of 4,0 of 0,0 of 0
W,Kai Asakura,1,9 of 21,42%,9 of 21,0 of 0,---,0,0,0:03,6 of 17,2 of 2,1 of 2,8 of 18,0 of 0,1 of 3
L,Cameron Smotherman,0,3 of 7,42%,3 of 7,0 of 0,---,0,0,0:00,3 of 6,0 of 1,0 of 0,3 of 7,0 of 0,0 of 0
W,Jake Matthews,1,55 of 96,57%,109 of 173,0 of 0,---,0,0,9:30,46 of 87,9 of 9,0 of 0,49 of 89,0 of 0,6 of 7
L,Carlston Harris,0,27 of 75,36%,40 of 88,0 of 3,0%,0,1,0:27,12 of 57,11 of 13,4 of 5,27 of 75,0 of 0,0 of 0
NC,Alex Perez,0,9 of 45,20%,22 of 58,0 of 2,0%,1,0,0:32,4 of 29,3 of 11,2 of 5,8 of 42,1 of 3,0 of 0
NC,Sumudaerji,1,26 of 53,49%,31 of 58,1 of 2,50%,0,0,1:11,15 of 38,5 of 9,6 of 6,20 of 45,1 of 1,5 of 7
L,YiSak Lee,0,10 of 25,40%,10 of 25,0 of 0,---,0,0,0:00,3 of 15,1 of 2,6 of 8,10 of 25,0 of 0,0 of 0
W,Luis Felipe Dias,1,21 of 40,52%,21 of 40,0 of 0,---,0,0,0:03,14 of 31,3 of 4,4 of 5,18 of 36,0 of 0,3 of 4
L,Ding Meng,0,63 of 146,43%,63 of 146,0 of 0,---,0,0,0:00,13 of 74,8 of 21,42 of 51,62 of 145,1 of 1,0 of 0
W,Jose Souza,0,72 of 153,47%,72 of 153,0 of 0,---,0,0,0:00,61 of 135,7 of 14,4 of 4,71 of 151,1 of 2,0 of 0
L,Aoriqileng,0,6 of 11,54%,12 of 17,0 of 0,---,1,0,0:00,4 of 9,2 of 2,0 of 0,6 of 9,0 of 0,0 of 2
W,Cody Haddon,1,57 of 70,81%,84 of 105,2 of 6,33%,0,0,5:30,46 of 59,10 of 10,1 of 1,8 of 17,4 of 4,45 of 49
W,Rei Tsuruya,0,17 of 27,62%,20 of 30,1 of 3,33%,1,0,2:17,17 of 26,0 of 1,0 of 0,3 of 8,0 of 0,14 of 19
L,Luis Gurule,0,1 of 2,50%,1 of 2,0 of 0,---,0,0,0:00,0 of 0,0 of 1,1 of 1,1 of 2,0 of 0,0 of 0
W,Angela Hill,0,122 of 197,61%,136 of 212,1 of 4,25%,1,0,2:06,77 of 145,43 of 50,2 of 2,94 of 162,28 of 35,0 of 0
L,Xiong Jingnan,0,68 of 198,34%,91 of 224,0 of 0,---,0,0,0:07,33 of 146,21 of 34,14 of 18,58 of 180,10 of 18,0 of 0
L,Zhu Kangjie,0,7 of 14,50%,12 of 19,0 of 0,---,0,0,0:00,2 of 8,2 of 2,3 of 4,7 of 14,0 of 0,0 of 0
W,Rodrigo Vera,1,17 of 29,58%,25 of 38,1 of 1,100%,0,0,0:41,13 of 20,1 of 1,3 of 8,7 of 16,1 of 2,9 of 11
L,Loma Lookboonmee,0,3 of 7,42%,10 of 16,0 of 0,---,0,0,0:08,1 of 3,0 of 1,2 of 3,2 of 5,1 of 2,0 of 0
W,Jaqueline Amorim,0,0 of 7,0%,5 of 15,0 of 2,0%,3,1,2:58,0 of 4,0 of 1,0 of 2,0 of 7,0 of 0,0 of 0
W,Arnold Allen,1,98 of 152,64%,156 of 222,7 of 7,100%,0,0,9:28,81 of 134,6 of 7,11 of 11,79 of 131,0 of 2,19 of 19
L,Melquizael Costa,0,100 of 254,39%,118 of 280,0 of 4,0%,0,0,1:45,47 of 173,20 of 42,33 of 39,97 of 249,0 of 1,3 of 4
W,Dooho Choi,1,72 of 138,52%,79 of 145,0 of 0,---,0,0,0:11,56 of 122,13 of 13,3 of 3,67 of 133,3 of 3,2 of 2
L,Daniel Santos,0,72 of 182,39%,74 of 186,0 of 6,0%,0,0,0:54,54 of 156,15 of 22,3 of 4,64 of 172,8 of 10,0 of 0
L,Malcolm Wellmaker,0,15 of 33,45%,15 of 34,0 of 0,---,0,0,0:00,3 of 11,9 of 18,3 of 4,14 of 32,1 of 1,0 of 0
W,Juan Diaz,0,13 of 25,52%,18 of 32,5 of 8,62%,1,0,3:48,3 of 9,3 of 3,7 of 13,10 of 21,2 of 3,1 of 1
W,Modestas Bukauskas,0,36 of 80,45%,52 of 99,0 of 0,---,0,0,2:15,21 of 64,10 of 11,5 of 5,30 of 74,6 of 6,0 of 0
L,Christian Edwards,0,36 of 71,50%,51 of 89,0 of 4,0%,0,0,4:22,13 of 41,17 of 20,6 of 10,27 of 61,9 of 10,0 of 0
L,Timmy Cuamba,0,29 of 80,36%,29 of 80,0 of 0,---,0,0,0:11,12 of 54,9 of 13,8 of 13,29 of 80,0 of 0,0 of 0
W,Benardo Sopaj,1,37 of 56,66%,66 of 92,1 of 3,33%,2,0,1:54,34 of 53,0 of 0,3 of 3,14 of 32,0 of 0,23 of 24
L,Nikolay Veretennikov,0,13 of 25,52%,20 of 33,0 of 0,---,0,0,0:00,8 of 19,3 of 4,2 of 2,12 of 23,1 of 2,0 of 0
W,Khaos Williams,1,21 of 56,37%,36 of 73,0 of 0,---,0,0,0:54,9 of 35,7 of 9,5 of 12,20 of 52,1 of 4,0 of 0
L,Tuco Tokkos,0,54 of 123,43%,57 of 126,0 of 6,0%,1,0,1:09,40 of 100,8 of 16,6 of 7,52 of 120,2 of 3,0 of 0
W,Ivan Erslan,0,37 of 66,56%,118 of 166,2 of 3,66%,0,0,8:31,35 of 64,2 of 2,0 of 0,28 of 52,4 of 6,5 of 8
W,Tommy Gantt,0,28 of 38,73%,72 of 84,6 of 17,35%,0,0,5:15,19 of 27,9 of 11,0 of 0,3 of 10,10 of 12,15 of 16
L,Artur Minev,0,8 of 13,61%,28 of 33,0 of 1,0%,0,0,0:53,2 of 7,5 of 5,1 of 1,3 of 7,5 of 6,0 of 0
W,Ketlen Vieira,0,30 of 92,32%,66 of 158,1 of 4,25%,0,0,4:42,27 of 86,2 of 5,1 of 1,29 of 90,0 of 0,1 of 2
L,Jacqueline Cavalcanti,0,53 of 110,48%,72 of 130,0 of 0,---,0,0,0:00,15 of 62,16 of 25,22 of 23,53 of 110,0 of 0,0 of 0
W,Cody Brundage,1,43 of 60,71%,44 of 62,0 of 0,---,0,0,0:34,40 of 55,2 of 2,1 of 3,8 of 12,0 of 0,35 of 48
L,Andre Petroski,0,8 of 17,47%,21 of 30,1 of 1,100%,0,0,1:56,2 of 7,1 of 4,5 of 6,7 of 16,0 of 0,1 of 1
W,Alice Ardelean,0,46 of 94,48%,80 of 139,1 of 1,100%,1,0,4:05,22 of 61,10 of 17,14 of 16,45 of 93,1 of 1,0 of 0
L,Polyana Viana,0,34 of 75,45%,80 of 137,0 of 0,---,0,0,0:13,9 of 44,13 of 19,12 of 12,29 of 66,5 of 9,0 of 0
L,Daniel Barez,0,113 of 246,45%,117 of 252,1 of 3,33%,0,0,0:48,79 of 208,20 of 22,14 of 16,108 of 241,5 of 5,0 of 0
W,Luis Gurule,0,149 of 299,49%,178 of 335,1 of 5,20%,1,1,2:26,129 of 273,8 of 13,12 of 13,133 of 278,16 of 21,0 of 0
L,Shauna Bannon,0,29 of 49,59%,158 of 183,0 of 1,0%,0,0,1:50,16 of 31,9 of 11,4 of 7,19 of 38,1 of 2,9 of 9
W,Nicolle Caliari,0,20 of 38,52%,50 of 68,4 of 9,44%,1,0,9:18,18 of 35,2 of 3,0 of 0,8 of 26,2 of 2,10 of 10
L,Khamzat Chimaev,0,98 of 240,40%,137 of 283,9 of 13,69%,0,0,7:16,52 of 163,35 of 65,11 of 12,96 of 237,2 of 3,0 of 0
W,Sean Strickland,0,123 of 312,39%,160 of 355,0 of 1,0%,0,0,3:01,118 of 302,5 of 10,0 of 0,119 of 306,1 of 1,3 of 5
W,Joshua Van,2,131 of 209,62%,190 of 269,1 of 2,50%,2,0,1:21,118 of 195,12 of 12,1 of 2,104 of 173,9 of 10,18 of 26
L,Tatsuro Taira,0,55 of 151,36%,100 of 199,8 of 21,38%,0,0,10:38,45 of 131,3 of 10,7 of 10,43 of 131,4 of 7,8 of 13
W,Alexander Volkov,0,88 of 143,61%,88 of 143,0 of 1,0%,0,0,0:03,22 of 70,23 of 29,43 of 44,88 of 143,0 of 0,0 of 0
L,Waldo Cortes Acosta,0,54 of 130,41%,54 of 130,0 of 1,0%,0,0,0:01,30 of 91,6 of 13,18 of 26,53 of 129,1 of 1,0 of 0
W,Sean Brady,0,77 of 180,42%,245 of 416,4 of 10,40%,0,0,12:09,76 of 179,0 of 0,1 of 1,6 of 15,0 of 0,71 of 165
L,Joaquin Buckley,0,5 of 31,16%,21 of 53,0 of 0,---,0,0,0:00,2 of 27,2 of 3,1 of 1,5 of 31,0 of 0,0 of 0
W,King Green,0,57 of 87,65%,64 of 95,1 of 1,100%,1,0,1:34,44 of 69,9 of 14,4 of 4,22 of 41,0 of 0,35 of 46
L,Jeremy Stephens,0,5 of 13,38%,7 of 15,0 of 0,---,1,0,0:07,3 of 10,0 of 1,2 of 2,4 of 12,1 of 1,0 of 0
W,Ateba Gautier,1,23 of 82,28%,27 of 86,0 of 0,---,0,0,0:00,15 of 69,6 of 11,2 of 2,20 of 79,1 of 1,2 of 2
L,Ozzy Diaz,0,6 of 20,30%,8 of 22,0 of 3,0%,0,0,1:03,5 of 18,1 of 2,0 of 0,6 of 20,0 of 0,0 of 0
L,Joel Alvarez,0,8 of 22,36%,9 of 23,0 of 0,---,0,0,0:00,7 of 20,1 of 2,0 of 0,8 of 22,0 of 0,0 of 0
W,Yaroslav Amosov,0,16 of 28,57%,22 of 34,6 of 11,54%,1,0,3:52,11 of 20,1 of 2,4 of 6,9 of 20,5 of 6,2 of 2
W,Grant Dawson,0,35 of 94,37%,71 of 136,1 of 3,33%,4,0,7:08,19 of 67,14 of 23,2 of 4,24 of 81,6 of 7,5 of 6
L,Mateusz Rebecki,1,33 of 64,51%,49 of 81,1 of 5,20%,0,1,2:22,27 of 56,1 of 2,5 of 6,27 of 50,4 of 4,2 of 10
W,Jim Miller,0,9 of 17,52%,10 of 18,0 of 0,---,1,0,0:00,5 of 13,3 of 3,1 of 1,9 of 17,0 of 0,0 of 0
L,Jared Gordon,0,7 of 16,43%,8 of 17,2 of 2,100%,0,0,0:44,4 of 11,2 of 3,1 of 2,7 of 15,0 of 1,0 of 0
W,Roman Kopylov,3,61 of 124,49%,69 of 132,1 of 1,100%,0,0,2:34,46 of 97,12 of 17,3 of 10,46 of 102,4 of 5,11 of 17
L,Marco Tulio,0,62 of 160,38%,80 of 178,0 of 0,---,0,0,0:00,28 of 105,18 of 34,16 of 21,62 of 159,0 of 1,0 of 0
W,Pat Sabatini,0,25 of 70,35%,78 of 125,3 of 20,15%,0,0,11:12,7 of 44,6 of 10,12 of 16,18 of 57,7 of 13,0 of 0
L,William Gomis,0,23 of 64,35%,54 of 98,0 of 0,---,0,0,0:00,12 of 50,8 of 10,3 of 4,13 of 49,10 of 15,0 of 0
W,Baisangur Susurkaev,0,107 of 213,50%,136 of 242,1 of 5,20%,1,0,2:16,56 of 143,31 of 48,20 of 22,98 of 202,2 of 2,7 of 9
L,Djorden Santos,0,78 of 211,36%,89 of 222,0 of 1,0%,0,0,0:21,69 of 198,5 of 8,4 of 5,70 of 201,8 of 10,0 of 0
L,Clayton Carpenter,0,68 of 153,44%,70 of 155,1 of 7,14%,0,0,1:07,24 of 82,25 of 49,19 of 22,61 of 143,6 of 8,1 of 2
W,Jose Ochoa,1,153 of 269,56%,180 of 296,0 of 2,0%,0,0,1:09,79 of 174,45 of 64,29 of 31,140 of 248,8 of 11,5 of 10
L,Jack Della Maddalena,0,41 of 76,53%,53 of 90,2 of 5,40%,0,0,1:13,25 of 52,8 of 15,8 of 9,41 of 76,0 of 0,0 of 0
W,Carlos Prates,3,104 of 193,53%,104 of 193,0 of 0,---,0,0,0:42,79 of 164,11 of 14,14 of 15,89 of 171,1 of 1,14 of 21
L,Beneil Dariush,0,3 of 9,33%,4 of 10,2 of 5,40%,0,0,2:32,2 of 7,0 of 1,1 of 1,3 of 7,0 of 2,0 of 0
W,Quillan Salkilld,1,12 of 19,63%,15 of 24,0 of 2,0%,0,0,0:20,11 of 18,1 of 1,0 of 0,7 of 13,2 of 3,3 of 3
L,Tim Elliott,0,90 of 261,34%,93 of 265,2 of 11,18%,0,0,0:34,44 of 191,11 of 27,35 of 43,87 of 255,3 of 6,0 of 0
W,Steve Erceg,0,136 of 254,53%,136 of 254,1 of 3,33%,0,0,0:29,122 of 236,14 of 18,0 of 0,129 of 245,7 of 9,0 of 0
W,Marwan Rahiki,1,22 of 40,55%,22 of 40,0 of 0,---,0,0,0:04,14 of 25,2 of 7,6 of 8,19 of 36,0 of 0,3 of 4
L,Ollie Schmid,0,9 of 30,30%,9 of 30,0 of 0,---,0,0,0:00,0 of 15,3 of 6,6 of 9,9 of 30,0 of 0,0 of 0
L,Shamil Gaziev,0,41 of 100,41%,51 of 110,1 of 2,50%,0,0,3:36,30 of 88,11 of 12,0 of 0,34 of 92,7 of 8,0 of 0
W,Brando Pericic,1,89 of 163,54%,100 of 177,0 of 0,---,0,0,0:00,62 of 134,14 of 16,13 of 13,81 of 150,8 of 13,0 of 0
L,Tai Tuivasa,0,13 of 22,59%,27 of 37,0 of 0,---,0,0,0:42,12 of 21,0 of 0,1 of 1,2 of 9,5 of 5,6 of 8
W,Louie Sutherland,0,21 of 25,84%,111 of 130,5 of 11,45%,0,2,11:45,15 of 18,0 of 0,6 of 7,7 of 9,4 of 5,10 of 11
W,Cam Rowston,0,79 of 150,52%,125 of 217,3 of 7,42%,0,0,10:10,69 of 137,6 of 9,4 of 4,32 of 82,2 of 2,45 of 66
L,Robert Bryczek,0,17 of 37,45%,39 of 65,0 of 0,---,1,0,0:05,5 of 22,8 of 10,4 of 5,17 of 37,0 of 0,0 of 0
W,Junior Tafa,0,21 of 31,67%,22 of 32,0 of 0,---,0,0,0:09,20 of 30,0 of 0,1 of 1,10 of 19,1 of 2,10 of 10
L,Kevin Christian,0,13 of 21,61%,13 of 21,0 of 2,0%,0,0,0:00,2 of 7,2 of 3,9 of 11,13 of 21,0 of 0,0 of 0
W,Jacob Malkoun,0,36 of 82,43%,54 of 103,3 of 3,100%,0,0,2:17,30 of 74,6 of 8,0 of 0,36 of 81,0 of 0,0 of 1
L,Gerald Meerschaert,0,32 of 76,42%,53 of 100,0 of 3,0%,3,2,4:23,23 of 66,6 of 7,3 of 3,31 of 74,0 of 1,1 of 1
W,Colby Thicknesse,0,46 of 117,39%,57 of 132,0 of 6,0%,4,1,3:01,15 of 73,21 of 32,10 of 12,43 of 112,3 of 5,0 of 0
L,Vince Morales,0,48 of 121,39%,56 of 134,2 of 2,100%,0,1,3:34,37 of 103,9 of 15,2 of 3,42 of 112,5 of 8,1 of 1
L,Ben Johnston,0,12 of 16,75%,38 of 44,2 of 2,100%,0,1,9:16,11 of 15,1 of 1,0 of 0,0 of 3,2 of 2,10 of 11
W,Wes Schultz,1,12 of 17,70%,22 of 32,0 of 3,0%,5,1,1:37,6 of 11,6 of 6,0 of 0,6 of 11,6 of 6,0 of 0
W,Jonathan Micallef,0,55 of 112,49%,83 of 147,1 of 4,25%,0,1,3:26,39 of 94,13 of 15,3 of 3,46 of 99,7 of 9,2 of 4
L,Themba Gorimbo,0,39 of 90,43%,74 of 132,2 of 5,40%,0,0,5:25,22 of 70,3 of 6,14 of 14,34 of 83,2 of 4,3 of 3
L,Dom Mar Fan,0,1 of 2,50%,3 of 5,0 of 0,---,0,1,0:28,0 of 0,0 of 1,1 of 1,1 of 2,0 of 0,0 of 0
